0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Idx,Period H1,FMA H1,SLMA H1,550MA H1,DeltaC H1,Macd H1,Plot2 H1,Plot3 H1,Plot4 H1,Idx,Period M15,FMA M15,SLMA M15,550MA M15,DeltaC M15,Macd M15,Plot2 M15,Plot3 M15,Plot4 M15,Idx,Period M5,FMA M5,SLMA M5,550MA M5,DeltaC M5,Macd M5,Plot2 M5,Plot3 M5,Plot4 M5,Idx,Period M1,FMA M1,SLMA M1,550MA M1,DeltaC M1,Macd M1,Plot2 M1,Plot3 M1,Plot4 M1
0,2024.05.15 19:00:00,1.08252,1.08138,1.07604,Positive,0.001234,0.001787,0.001109,0.001527,0,2024.05.15 19:15:00,1.08424,1.08358,1.07659,Positive,0.000852,0.001024,0.000679,0.000938,0,2024.05.15 19:20:00,1.08525,1.08475,1.08004,Positive,0.000558,0.000793,0.000457,0.000623,0,2024.05.15 19:23:00,1.08626,1.08595,1.08303,Positive,0.000268,0.000488,0.000276,0.000380
1,2024.05.15 18:00:00,1.08224,1.08118,1.07602,Positive,0.001047,0.001696,0.001072,0.001479,1,2024.05.15 19:00:00,1.08406,1.08346,1.07657,Positive,0.000761,0.000968,0.000658,0.000909,1,2024.05.15 19:15:00,1.08515,1.08467,1.08002,Positive,0.000511,0.000761,0.000443,0.000604,1,2024.05.15 19:22:00,1.08622,1.08591,1.08302,Positive,0.000265,0.000479,0.000270,0.000373
2,2024.05.15 17:00:00,1.08202,1.08103,1.07600,Positive,0.000905,0.001625,0.001043,0.001440,2,2024.05.15 18:45:00,1.08391,1.08335,1.07656,Positive,0.000666,0.000915,0.000638,0.000883,2,2024.05.15 19:10:00,1.08505,1.08459,1.08001,Positive,0.000469,0.000734,0.000430,0.000587,2,2024.05.15 19:21:00,1.08618,1.08587,1.08302,Positive,0.000257,0.000469,0.000265,0.000365
3,2024.05.15 16:00:00,1.08187,1.08087,1.07599,Positive,0.000938,0.001608,0.001031,0.001423,3,2024.05.15 18:30:00,1.08378,1.08326,1.07654,Positive,0.000615,0.000879,0.000623,0.000864,3,2024.05.15 19:05:00,1.08495,1.08451,1.08000,Positive,0.000415,0.000704,0.000417,0.000570,3,2024.05.15 19:20:00,1.08614,1.08584,1.08301,Positive,0.000249,0.000459,0.000259,0.000358
4,2024.05.15 15:00:00,1.08161,1.08070,1.07597,Positive,0.000701,0.001516,0.000995,0.001377,4,2024.05.15 18:15:00,1.08367,1.08318,1.07652,Positive,0.000574,0.000848,0.000611,0.000848,4,2024.05.15 19:00:00,1.08485,1.08444,1.07999,Positive,0.000357,0.000676,0.000405,0.000554,4,2024.05.15 19:19:00,1.08610,1.08580,1.08300,Positive,0.000246,0.000451,0.000254,0.000351
5,2024.05.15 14:00:00,1.08153,1.08063,1.07596,Positive,0.000714,0.001504,0.000985,0.001363,5,2024.05.15 18:00:00,1.08360,1.08312,1.07651,Positive,0.000578,0.000830,0.000603,0.000837,5,2024.05.15 18:55:00,1.08478,1.08439,1.07998,Positive,0.000322,0.000657,0.000395,0.000541,5,2024.05.15 19:18:00,1.08607,1.08577,1.08300,Positive,0.000248,0.000444,0.000249,0.000344
6,2024.05.15 13:00:00,1.08145,1.08054,1.07595,Positive,0.000766,0.001501,0.000978,0.001353,6,2024.05.15 17:45:00,1.08356,1.08308,1.07650,Positive,0.000615,0.000822,0.000598,0.000831,6,2024.05.15 18:50:00,1.08471,1.08433,1.07997,Positive,0.000292,0.000641,0.000387,0.000530,6,2024.05.15 19:17:00,1.08605,1.08575,1.08299,Positive,0.000270,0.000442,0.000246,0.000340
7,2024.05.15 12:00:00,1.08136,1.08045,1.07594,Positive,0.000788,0.001487,0.000967,0.001339,7,2024.05.15 17:30:00,1.08355,1.08305,1.07648,Positive,0.000742,0.000835,0.000600,0.000833,7,2024.05.15 18:45:00,1.08463,1.08427,1.07996,Positive,0.000232,0.000618,0.000377,0.000517,7,2024.05.15 19:16:00,1.08602,1.08572,1.08298,Positive,0.000287,0.000438,0.000242,0.000335
8,2024.05.15 11:00:00,1.08124,1.08034,1.07592,Positive,0.000785,0.001464,0.000954,0.001321,8,2024.05.15 17:15:00,1.08346,1.08296,1.07647,Positive,0.000785,0.000820,0.000593,0.000823,8,2024.05.15 18:40:00,1.08456,1.08422,1.07995,Positive,0.000170,0.000598,0.000367,0.000504,8,2024.05.15 19:15:00,1.08598,1.08568,1.08298,Positive,0.000290,0.000429,0.000236,0.000328
